# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.8.5
#@/tick	17159
#@/user_id	e20759ef-d2df-41e6-b751-89c12cbdc2a3
a 	啊	c=0 d=0.1 t=14294
cheng jiao hou 	成交後	c=2 d=1.9802 t=2659
cheng jiao ji lu 	成交記錄	c=3 d=2.80516 t=2670
cheng jiao liang 	成交量	c=1 d=1 t=7049
cheng shi 	城市	c=1 d=1 t=9199
cheng wei 	成爲	c=3 d=1 t=16415
cheng xian 	呈現	c=2 d=1 t=15676
cheng xu 	程序	c=15 d=0.00165327 t=17159
cheng yuan 	成員	c=11 d=0.482338 t=17159
cheng zhong 	承重	c=3 d=2.08676 t=9190
chi cang 	持倉	c=4 d=0.953947 t=17159
chi cun 	尺寸	c=1 d=0.215456 t=17159
chi xu 	持續	c=3 d=1.66251 t=14509
chi you 	持有	c=1 d=1 t=10111
chong die 	重疊	c=1 d=1 t=14009
chong fen 	充分	c=7 d=2.03416 t=10573
chong fu 	重複	c=2 d=1 t=16811
chong qi 	重啓	c=8 d=2.44767 t=6424
chong tu 	衝突	c=7 d=1.97045 t=16949
chong wu 	寵物	c=1 d=1 t=9273
chong xin 	重新	c=12 d=0.0170774 t=17159
chong zai 	重載	c=7 d=1 t=16135
chong zhuang 	重裝	c=1 d=1 t=5519
chong zu 	充足	c=2 d=1.00002 t=11336
chou xiang 	抽象	c=5 d=0.148884 t=17159
chu 	出	c=2 d=1 t=11659
chu bei 	儲備	c=1 d=1 t=14128
chu cuo 	出錯	c=1 d=1 t=12432
chu fang 	廚房	c=2 d=1.40454 t=9173
chu fei 	除非	c=2 d=1.22537 t=3304
chu lai 	出來	c=5 d=1.0276 t=12386
chu le 	除了	c=2 d=0.00145173 t=17159
chu li 	處理	c=33 d=1.01378 t=17083
chu qi 	初期	c=1 d=1 t=14381
chu shi 	廚師	c=2 d=1.99005 t=9243
chu shi hua 	初始化	c=19 d=2.20454 t=7477
chu wen ti 	出問題	c=1 d=0.00145901 t=17159
chu xian 	出現	c=8 d=1 t=16150
chu xian zai 	出現在	c=2 d=1.00001 t=12436
chuan di 	傳遞	c=2 d=1 t=12724
chuan shu 	傳輸	c=1 d=1 t=14972
chuan shuo 	傳說	c=1 d=1 t=15700
chuan tou 	穿透	c=1 d=1 t=1871
chuang 	牀	c=2 d=2.09501 t=9128
chuang jian 	創建	c=46 d=0.598032 t=17159
chuang jian ri zhi 	創建日誌	c=1 d=1 t=13527
chuang kou 	窗口	c=14 d=0.239669 t=17159
chuang ye 	創業	c=1 d=1 t=13610
chun 	純	c=2 d=0.0373862 t=17159
chun xu han shu 	純虛函數	c=1 d=0.0352602 t=17159
ci 	此	c=1 d=1 t=4964
ci 	詞	c=1 d=1 t=9559
ci lei 	此類	c=2 d=1.94176 t=4220
ci qian 	此前	c=1 d=1 t=16986
ci shi 	此時	c=5 d=0.470011 t=17159
ci shu 	次數	c=4 d=1 t=14077
ci zhi 	辭職	c=1 d=1.09802 t=3500
cong 	從	c=22 d=1.56271 t=17159
cong ci 	從此	c=1 d=0.0120946 t=17159
cong he er lai 	從何而來	c=1 d=1 t=7974
cong zhong 	從中	c=1 d=1 t=17135
cun 	寸	c=4 d=3.92121 t=13489
cun chu 	存儲	c=19 d=1 t=15808
cun fang 	存放	c=1 d=0.289384 t=17159
cun liang 	存量	c=1 d=1 t=2651
cun qu 	存取	c=1 d=1 t=11292
cun ru 	存入	c=1 d=1 t=12481
cun zai 	存在	c=4 d=1 t=16872
cuo he 	撮合	c=1 d=1 t=2674
cuo wu 	錯誤	c=18 d=2.10338 t=16617
da 	大	c=3 d=1 t=9829
da 	打	c=0 d=0.1 t=1726
da an 	答案	c=4 d=1.85214 t=15579
da bao 	打包	c=2 d=1.24783 t=14309
da bu fen 	大部分	c=3 d=1.95123 t=16797
da dao 	達到	c=2 d=1 t=13782
da duo shu 	大多數	c=1 d=1 t=14671
da gui mo 	大規模	c=1 d=1 t=9537
da jian 	搭建	c=8 d=1 t=15713
da jie 	大姐	c=1 d=1 t=9261
da jie 	大街	c=1 d=1 t=9260
da kai 	打開	c=25 d=1.90965 t=17159
da kai shi 	打開時	c=1 d=1 t=16277
da lou 	大樓	c=2 d=1.0012 t=10593
da shu ju 	打數據	c=1 d=1 t=1727
da xiao 	大小	c=8 d=2.86454 t=16456
